Variable Name,Variable Description,Component
CBQ850,"The last time you bought foods or beverages at a place that sells mostly beverages, did you notice any calorie information on the menu?",Questionnaire
CBQ855,Did you use the information in deciding what to order?,Questionnaire
CBQ860,"In the past 12 months, did you buy any foods or beverages at movie theaters, sports arenas, or other places of recreation?",Questionnaire
CBQ865,"The last time you bought foods or beverages at a movie theater, sports arena, or other place of recreation, did you notice any calorie information on the menu?",Questionnaire
CBQ870,Did you use the information in deciding what to order?,Questionnaire
CBQ875,"In the past 12 months, did you buy prepared foods such as salads, soups, chicken, sandwiches and cooked vegetables from grocery store salad bars and deli counters?",Questionnaire
CBQ880,"The last time you bought prepared foods at a grocery store, did you notice any calorie information about these foods?",Questionnaire
CBQ885,Did you use the information in deciding what to buy?,Questionnaire
CBQ890,"In the past 12 months, did you buy prepared foods at convenience stores including gas stations or corner stores?",Questionnaire
CBQ895,"The last time you bought prepared foods at a convenience store, including a gas station or corner store, did you notice any calorie information about these foods?",Questionnaire
CBQ900,Did you use the information in deciding what to buy?,Questionnaire
CBQ905,"{Please turn to hand cards 12 and 13.}  How about the information on the number of servings in the package?  [How often do you use information on the number of servings in the package on a food label, {such as the part colored in purple on hand card 12,} when deciding to buy a food product?]   [Would you say always, most of the time, sometimes, rarely, or never?]",Questionnaire
CBQ910,"{Please turn to hand cards #\14 and 15.}  How about the information contained in the footnote?  [How often do you use information contained in the footnote on a food label, {such as the part colored in orange on hand card 14,} when deciding to buy a food product?]  [Would you say always, most of the time, sometimes, rarely, or never?]",Questionnaire
CBQ915,"{For the next question you'll use {hand cards 19 & 21} to respond, but first please look at {hand card 18/hand card 20.}  Which one do you use more often when deciding to buy a food product - information on the food label about Percent Daily Value, {such as the part colored in blue on {hand card 18/hand card 20},} or about the amount of nutrients such as the value in grams or milligrams noted next to each nutrient {such as the part highlighted in yellow}?  {Looking at {hand card 19/hand card 21},} would you say you use...",Questionnaire
CBQ925,Now turn to {hand cards 22 and 23/hand cards 24 and 25}. The label of the product shows 5% Daily Value for Vitamin A in a serving of the product.  What does the 5% Daily Value mean to you?,Questionnaire
CBQ930,"{Look at hand cards 26 and 27.}  How often do you use the calorie information on a food label, {such as the part colored in green,} when deciding to buy a food product?  Would you say always, most of the time, sometimes, rarely, or never?",Questionnaire
CBQ935,"{Please turn your hand cards to the next page.}  How about information on sugars?  [How often do you use information on sugars on a food label, {such as the part colored in pink on hand card 28,} when deciding to buy a food product?]  Would you say always, most of the time, sometimes, rarely, or never?",Questionnaire
CBQ945,"{Now turn to hand cards 30 and 31.}  How about information on sodium?  [How often do you use information on sodium on a food label, {such as the part colored in blue on hand card 30,} when deciding to buy a food product?]  [Would you say always, most of the time, sometimes, rarely, or never?]",Questionnaire
CBQ950,"{Please turn to the next hand card page.}  Some food packages contain two column labels. {For example, the one shown in hand card 32}. The first column has nutrient information for one serving of the food, and the second column contains information for the entire package.  On packages containing two column labels, how often do you use the second column with information per container when deciding to buy a food product?  Would you say always, most of the time, sometimes, rarely, or never?",Questionnaire
DBQ750,"{Please turn to hand card 6. For the next few questions you'll use hand card 7 to respond, but first please look at hand card 6 which shows an example of the food label. How often do you use the Nutrition Facts panel on a food label, such as the part colored in yellow on the sample food label on hand card 6, when deciding to buy a food product?} {Looking at hand card 7,} would you say always, most of the time, sometimes, rarely, or never?",Questionnaire
DBQ760,"{Please turn to hand card 8. Again, for the next question, you’ll use hand card 9 to respond, but first look at hand card 8.} How often do you use the list of ingredients on a food label, {such as the part colored in pink on hand card 8,} when deciding to buy a food product? Would you say always, most of the time, sometimes, rarely, or never?",Questionnaire
DBQ770,"{Please turn your hand card to the next page.} How about the information on the serving size? [HAND CARD # 10] How often do you use information on the serving size on a food label, {such as the part colored in green on hand card 10,} when deciding to buy a food product?] Would you say always, most of the time, sometimes, rarely, or never?]",Questionnaire
DBQ780,"Some food packages contain health claims about the benefits of nutrients or foods {like the examples on hand card 4}. How often do you use this kind of health claim when deciding to buy a product? Using hand card 5, would you say always, most of the time, sometimes, rarely, or never?",Questionnaire
SEQN,Respondent sequence number.,Questionnaire
WTDRD1,Dietary day one sample weight,Questionnaire
FSD012N,"In the last 12 months, how many people in your household received SNAP or Food Stamp benefits?",Questionnaire
FSD032A,"Now I am going to read you several statements that people have made about their food situation. For these statements, please tell me whether the statement was often true, sometimes true, or never true for {you/your household} in the last 12 months, that is since last {DISPLAY CURRENT MONTH AND LAST YEAR}. The first statement is . . .  {I/we} worried whether {my/our} food would run out before {I/we} got money to buy more.",Questionnaire
FSD032B,"[The next statement is . . .]  The food that {I/we} bought just didn't last, and {I/we} didn't have enough money to get more food.",Questionnaire
FSD032C,[The next statement is . . .]  {I/we} couldn't afford to eat balanced meals.,Questionnaire
