Variable Name,Component,Variable Description
CBQ738j,Questionnaire,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.}
CBQ738k,Questionnaire,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.}
CBQ785,Questionnaire,The interview was completed in:
CBQ830,Questionnaire,"In the past 12 months, did you eat at an all-you-can-eat buffet style restaurant?"
CBQ835,Questionnaire,"The last time you ate at an all-you-can-eat buffet style restaurant, did you notice any calorie information on the menu?"
CBQ840,Questionnaire,Did you use the information in deciding what to eat?
CBQ845,Questionnaire,"In the past 12 months, did you buy any foods or beverages at a place that sells mostly beverages such as a coffee shop or juice bar?"
CBQ850,Questionnaire,"The last time you bought foods or beverages at a place that sells mostly beverages, did you notice any calorie information on the menu?"
CBQ855,Questionnaire,Did you use the information in deciding what to order?
CBQ860,Questionnaire,"In the past 12 months, did you buy any foods or beverages at movie theaters, sports arenas, or other places of recreation?"
CBQ865,Questionnaire,"The last time you bought foods or beverages at a movie theater, sports arena, or other place of recreation, did you notice any calorie information on the menu?"
CBQ870,Questionnaire,Did you use the information in deciding what to order?
CBQ875,Questionnaire,"In the past 12 months, did you buy prepared foods such as salads, soups, chicken, sandwiches and cooked vegetables from grocery store salad bars and deli counters?"
CBQ880,Questionnaire,"The last time you bought prepared foods at a grocery store, did you notice any calorie information about these foods?"
CBQ885,Questionnaire,Did you use the information in deciding what to buy?
CBQ890,Questionnaire,"In the past 12 months, did you buy prepared foods at convenience stores including gas stations or corner stores?"
CBQ895,Questionnaire,"The last time you bought prepared foods at a convenience store, including a gas station or corner store, did you notice any calorie information about these foods?"
CBQ900,Questionnaire,Did you use the information in deciding what to buy?
CBQ905,Questionnaire,"{Please turn to hand cards 12 and 13.}  How about the information on the number of servings in the package?  [How often do you use information on the number of servings in the package on a food label, {such as the part colored in purple on hand card 12,} when deciding to buy a food product?]   [Would you say always, most of the time, sometimes, rarely, or never?]"
CBQ910,Questionnaire,"{Please turn to hand cards #\14 and 15.}  How about the information contained in the footnote?  [How often do you use information contained in the footnote on a food label, {such as the part colored in orange on hand card 14,} when deciding to buy a food product?]  [Would you say always, most of the time, sometimes, rarely, or never?]"
CBQ915,Questionnaire,"{For the next question you'll use {hand cards 19 & 21} to respond, but first please look at {hand card 18/hand card 20.}  Which one do you use more often when deciding to buy a food product - information on the food label about Percent Daily Value, {such as the part colored in blue on {hand card 18/hand card 20},} or about the amount of nutrients such as the value in grams or milligrams noted next to each nutrient {such as the part highlighted in yellow}?  {Looking at {hand card 19/hand card 21},} would you say you use..."
CBQ925,Questionnaire,Now turn to {hand cards 22 and 23/hand cards 24 and 25}. The label of the product shows 5% Daily Value for Vitamin A in a serving of the product.  What does the 5% Daily Value mean to you?
CBQ930,Questionnaire,"{Look at hand cards 26 and 27.}  How often do you use the calorie information on a food label, {such as the part colored in green,} when deciding to buy a food product?  Would you say always, most of the time, sometimes, rarely, or never?"
CBQ935,Questionnaire,"{Please turn your hand cards to the next page.}  How about information on sugars?  [How often do you use information on sugars on a food label, {such as the part colored in pink on hand card 28,} when deciding to buy a food product?]  Would you say always, most of the time, sometimes, rarely, or never?"
CBQ945,Questionnaire,"{Now turn to hand cards 30 and 31.}  How about information on sodium?  [How often do you use information on sodium on a food label, {such as the part colored in blue on hand card 30,} when deciding to buy a food product?]  [Would you say always, most of the time, sometimes, rarely, or never?]"
CBQ950,Questionnaire,"{Please turn to the next hand card page.}  Some food packages contain two column labels. {For example, the one shown in hand card 32}. The first column has nutrient information for one serving of the food, and the second column contains information for the entire package.  On packages containing two column labels, how often do you use the second column with information per container when deciding to buy a food product?  Would you say always, most of the time, sometimes, rarely, or never?"
DBQ750,Questionnaire,"{Please turn to hand card 6. For the next few questions you'll use hand card 7 to respond, but first please look at hand card 6 which shows an example of the food label. How often do you use the Nutrition Facts panel on a food label, such as the part colored in yellow on the sample food label on hand card 6, when deciding to buy a food product?} {Looking at hand card 7,} would you say always, most of the time, sometimes, rarely, or never?"
DBQ760,Questionnaire,"{Please turn to hand card 8. Again, for the next question, you’ll use hand card 9 to respond, but first look at hand card 8.} How often do you use the list of ingredients on a food label, {such as the part colored in pink on hand card 8,} when deciding to buy a food product? Would you say always, most of the time, sometimes, rarely, or never?"
DBQ770,Questionnaire,"{Please turn your hand card to the next page.} How about the information on the serving size? [HAND CARD # 10] How often do you use information on the serving size on a food label, {such as the part colored in green on hand card 10,} when deciding to buy a food product?] Would you say always, most of the time, sometimes, rarely, or never?]"
DBQ780,Questionnaire,"Some food packages contain health claims about the benefits of nutrients or foods {like the examples on hand card 4}. How often do you use this kind of health claim when deciding to buy a product? Using hand card 5, would you say always, most of the time, sometimes, rarely, or never?"
SEQN,Questionnaire,Respondent sequence number.
WTDRD1,Questionnaire,Dietary day one sample weight
FSD012N,Questionnaire,"In the last 12 months, how many people in your household received SNAP or Food Stamp benefits?"
FSD032A,Questionnaire,"Now I am going to read you several statements that people have made about their food situation. For these statements, please tell me whether the statement was often true, sometimes true, or never true for {you/your household} in the last 12 months, that is since last {DISPLAY CURRENT MONTH AND LAST YEAR}. The first statement is . . .  {I/we} worried whether {my/our} food would run out before {I/we} got money to buy more."
