Variable,Encoding
PFQ061J,"{1: 'No difficulty', 2: 'Some difficulty', 3: 'Much difficulty', 4: 'Unable to do', 5: 'Do not do this activity', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ061K,"{1: 'No difficulty', 2: 'Some difficulty', 3: 'Much difficulty', 4: 'Unable to do', 5: 'Do not do this activity', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ061L,"{1: 'No difficulty', 2: 'Some difficulty', 3: 'Much difficulty', 4: 'Unable to do', 5: 'Do not do this activity', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ061M,"{1: 'No difficulty', 2: 'Some difficulty', 3: 'Much difficulty', 4: 'Unable to do', 5: 'Do not do this activity', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ061N,"{1: 'No difficulty', 2: 'Some difficulty', 3: 'Much difficulty', 4: 'Unable to do', 5: 'Do not do this activity', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ061O,"{1: 'No difficulty', 2: 'Some difficulty', 3: 'Much difficulty', 4: 'Unable to do', 5: 'Do not do this activity', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ061P,"{1: 'No difficulty', 2: 'Some difficulty', 3: 'Much difficulty', 4: 'Unable to do', 5: 'Do not do this activity', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ061Q,"{1: 'No difficulty', 2: 'Some difficulty', 3: 'Much difficulty', 4: 'Unable to do', 5: 'Do not do this activity', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ061R,"{1: 'No difficulty', 2: 'Some difficulty', 3: 'Much difficulty', 4: 'Unable to do', 5: 'Do not do this activity', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ061S,"{1: 'No difficulty', 2: 'Some difficulty', 3: 'Much difficulty', 4: 'Unable to do', 5: 'Do not do this activity', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ061T,"{1: 'No difficulty', 2: 'Some difficulty', 3: 'Much difficulty', 4: 'Unable to do', 5: 'Do not do this activity', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ063A,"{10: 'Arthritis/rheumatism', 11: 'Back or neck problem', 12: 'Birth defect', 13: 'Cancer', 14: 'Depression/anxiety/emotional problem', 15: 'Other developmental problem (such as cerebral palsy)', 16: 'Diabetes', 17: 'Fractures, bone/joint injury', 18: 'Hearing problem', 19: 'Heart problem', 20: 'Hypertension/high blood pressure', 21: 'Lung/breathing problem', 22: 'Mental retardation', 23: 'Other injury', 24: 'Senility', 25: 'Stroke problem', 26: 'Vision/problem seeing', 27: 'Weight problem', 28: 'Other impairment/problem', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
PFQ063B,"{10: 'Arthritis/rheumatism', 11: 'Back or neck problem', 12: 'Birth defect', 13: 'Cancer', 14: 'Depression/anxiety/emotional problem', 15: 'Other developmental problem (such as cerebral palsy)', 16: 'Diabetes', 17: 'Fractures, bone/joint injury', 18: 'Hearing problem', 19: 'Heart problem', 20: 'Hypertension/high blood pressure', 21: 'Lung/breathing problem', 22: 'Mental retardation', 23: 'Other injury', 24: 'Senility', 25: 'Stroke problem', 26: 'Vision/problem seeing', 27: 'Weight problem', 28: 'Other impairment/problem', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
PFQ063C,"{10: 'Arthritis/rheumatism', 11: 'Back or neck problem', 12: 'Birth defect', 13: 'Cancer', 14: 'Depression/anxiety/emotional problem', 15: 'Other developmental problem (such as cerebral palsy)', 16: 'Diabetes', 17: 'Fractures, bone/joint injury', 18: 'Hearing problem', 19: 'Heart problem', 20: 'Hypertension/high blood pressure', 21: 'Lung/breathing problem', 22: 'Mental retardation', 23: 'Other injury', 24: 'Senility', 25: 'Stroke problem', 26: 'Vision/problem seeing', 27: 'Weight problem', 28: 'Other impairment/problem', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
PFQ063D,"{10: 'Arthritis/rheumatism', 11: 'Back or neck problem', 12: 'Birth defect', 13: 'Cancer', 14: 'Depression/anxiety/emotional problem', 15: 'Other developmental problem (such as cerebral palsy)', 16: 'Diabetes', 17: 'Fractures, bone/joint injury', 18: 'Hearing problem', 19: 'Heart problem', 20: 'Hypertension/high blood pressure', 21: 'Lung/breathing problem', 22: 'Mental retardation', 23: 'Other injury', 24: 'Senility', 25: 'Stroke problem', 26: 'Vision/problem seeing', 27: 'Weight problem', 28: 'Other impairment/problem', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
PFQ063E,"{10: 'Arthritis/rheumatism', 11: 'Back or neck problem', 12: 'Birth defect', 13: 'Cancer', 14: 'Depression/anxiety/emotional problem', 15: 'Other developmental problem (such as cerebral palsy)', 16: 'Diabetes', 17: 'Fractures, bone/joint injury', 18: 'Hearing problem', 19: 'Heart problem', 20: 'Hypertension/high blood pressure', 21: 'Lung/breathing problem', 22: 'Mental retardation', 23: 'Other injury', 24: 'Senility', 25: 'Stroke problem', 26: 'Vision/problem seeing', 27: 'Weight problem', 28: 'Other impairment/problem', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
PFQ090,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
RXQ510,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
RXQ515,"{1: 'Yes', 2: 'No', 3: 'Sometimes', 4: 'Stopped aspirin use due to side effects', 9: ""Don't know"", '.': 'Missing'}"
RXQ520,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
RXQ525G,"{1: 'One every day', 2: 'One every other day', 3: 'Another schedule', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
RXQ525Q,{'.': 'Missing'}
RXQ525U,"{1: 'Per day', 2: 'Per week', 9: ""Don't know"", '.': 'Missing'}"
RXD530,"{500: '500 mg or higher', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
RHQ010,"{0: ""Hasn't started yet"", 20: '20 years or older', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
RHQ020,"{1: 'Younger than 10', 2: '10 to 12', 3: '13 to 15', 4: '16 or older', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
RHQ031,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
RHD043,"{1: 'Pregnancy', 2: 'Breast feeding', 3: 'Hysterectomy', 7: 'Menopause/Change of life', 9: 'Other', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
RHQ060,"{19: '19 years or under', 60: '60 years or older', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
RHQ070,"{1: 'Younger than 30', 2: '30 to 34', 3: '35 to 39', 4: '40 to 44', 5: '45 to 49', 6: '50 to 54', 7: '55 or older', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
RHQ074,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
RHQ076,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
RHQ078,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
RHQ131,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
RHD143,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
RHQ160,"{11: '11 or more', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
RHQ162,"{1: 'Yes', 2: 'No', 3: 'Borderline', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
RHQ163,"{14: '14 years or under', 45: '45 years or older', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
RHQ166,"{11: '11 or more', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
RHQ169,"{77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
RHQ172,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
RHD173,"{14: '14 years or under', 45: '45 years or older', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
RHQ171,"{11: '11 or more', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
RHD180,"{14: '14 years or under', 45: '45 years or older', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
RHD190,"{14: '14 years or under', 45: '45 years or older', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
RHQ197,"{1: '1 month or less', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
RHQ200,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
RHD280,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
RHQ291,"{19: '19 years or under', 60: '60 years or older', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
RHQ305,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
RHQ332,"{19: '19 years or under', 60: '60 years or older', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
RHQ420,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
RHQ540,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
RHQ542A,"{10: 'Pills', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
RHQ542B,"{11: 'Patches', '.': 'Missing'}"
RHQ542C,"{12: 'Cream/suppository/injection', '.': 'Missing'}"
RHQ542D,"{13: 'Other', '.': 'Missing'}"
RHQ554,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
RHQ560Q,"{77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
RHQ560U,"{1: 'Months', 2: 'Years', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
RHQ570,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
RHQ576Q,"{77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
RHQ576U,"{1: 'Months', 2: 'Years', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
RHQ580,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
RHQ586Q,"{77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
RHQ586U,"{1: 'Months', 2: 'Years', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
RHQ596,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
RHQ602Q,"{77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
RHQ602U,"{1: 'Months', 2: 'Years', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SLQ300,"{77777: 'Refused', 99999: ""Don't know""}"
SLQ310,"{77777: 'Refused', 99999: ""Don't know""}"
SLD012,"{2: 'Less then 3 hours', 14: '14 hours or more', '.': 'Missing'}"
SLQ320,"{77777: 'Refused', 99999: ""Don't know""}"
SLQ330,"{77777: 'Refused', 99999: ""Don't know""}"
SLD013,"{2: 'Less then 3 hours', 14: '14 hours or more', '.': 'Missing'}"
SLQ030,"{0: 'Never', 1: 'Rarely - 1-2 nights a week', 2: 'Occasionally - 3-4 nights a week', 3: 'Frequently - 5 or more nights a week', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SLQ040,"{0: 'Never', 1: 'Rarely - 1-2 nights a week', 2: 'Occasionally - 3-4 nights a week', 3: 'Frequently - 5 or more nights a week', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SLQ050,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SLQ120,"{0: 'Never', 1: 'Rarely - 1 time a month', 2: 'Sometimes - 2-4 times a month', 3: 'Often- 5-15 times a month', 4: 'Almost always - 16-30 times a month', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ020,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMD030,"{0: 'Never smoked cigarettes regularly', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
SMQ040,"{1: 'Every day', 2: 'Some days', 3: 'Not at all', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ050Q,"{66666: '50 years or more', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
SMQ050U,"{1: 'Days', 2: 'Weeks', 3: 'Months', 4: 'Years', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMD057,"{1: '1 cigarette or less', 95: '95 cigarettes or more', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
SMQ078,"{1: 'Within 5 minutes', 2: 'From 6 to 30 minutes', 3: 'From more than 30 minutes to one hour', 4: 'From more than 1 hour to 2 hours', 5: 'From more than 2 hours to 3 hours', 6: 'From more than 3 hours to 4 hours', 7: 'More than 4 hours', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
SMD641,"{77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
SMD650,"{1: '1 cigarette or less', 95: '95 cigarettes or more', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
SMD093,"{1: 'Yes', 2: 'No', 3: 'No usual brand', 4: 'Rolls own', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMDUPCA,{}
SMD100BR,{}
SMD100FL,"{0: 'Non-filter', 1: 'Filter', '.': 'Missing'}"
SMD100MN,"{0: 'Non-menthol', 1: 'Menthol', '.': 'Missing'}"
SMD100LN,"{1: 'Regular (68-72 mm)', 2: 'King (79-88 mm)', 3: 'Long (94-101 mm)', 4: 'Ultra long (110-121 mm)', '.': 'Missing'}"
SMD100TR,{'.': 'Missing'}
SMD100NI,{'.': 'Missing'}
SMD100CO,{'.': 'Missing'}
SMQ621,"{1: 'I have never smoked, not even a puff', 2: '1 or more puffs but never a whole cigarette', 3: '1 cigarette', 4: '2 to 5 cigarettes', 5: '6 to 15 cigarettes', 6: '16 to 25 cigarettes', 7: '26 to 99 cigarettes', 8: '100 or more cigarettes', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
SMD630,"{6: '6 years or less', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
SMQ661,"{1: 'Marlboro', 2: 'Camel', 3: 'Newport', 8: 'Other brand', 9: 'No usual brand', 10: 'Hand-rolled cigarettes', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
SMQ665A,"{1: 'MARLBORO RED', 2: 'MARLBORO RED 83S', 3: 'MARLBORO GOLD', 4: 'MARLBORO GOLD MENTHOL', 5: 'MARLBORO SILVER', 6: 'MARLBORO BLACK', 7: 'MARLBORO MENTHOL', 8: 'OTHER MARLBORO', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
SMQ665B,"{1: 'CAMEL', 2: 'CAMEL BLUE', 3: 'CAMEL CRUSH', 4: 'CAMEL CRUSH BOLD', 5: 'CAMEL MENTHOL', 6: 'CAMEL MENTHOL SILVER', 7: 'OTHER CAMEL', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
SMQ665C,"{1: 'NEWPORT', 2: 'NEWPORT MENTHOL GOLD', 3: 'OTHER NEWPORT', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
SMQ665D,"{1: 'BASIC', 2: 'DORAL RED 100S', 3: 'DORAL MENTHOL GOLD BOX 100S', 4: 'GPC', 5: 'GPC MENTHOL', 6: 'KOOL BLUE MENTHOL 100S', 7: 'KOOL TRUE MENTHOL', 8: 'VIRGINIA SLIMS', 9: 'OTHER BRAND', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
SMQ670,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ848,"{777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
SMQ852Q,"{0: 'Less than one day', 7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
SMQ852U,"{1: 'Days', 2: 'Weeks', 3: 'Months', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ890,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ895,"{77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
SMQ900,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ905,"{77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
SMQ910,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ915,"{77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
SMAQUEX2,"{1: 'Home Interview (18+ Yrs)', 2: 'ACASI (12 - 17 Yrs)', '.': 'Missing'}"
SMD460,"{0: 'No one in houseold is a smoker', 1: '1 household member is a smoker', 2: '2 household members are smokers', 3: '3 or more household members are smokers', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
SMD470,"{0: 'No one smokes inside the house', 1: '1 household member smokes inside the house', 2: '2 household members smoke inside the house', 3: '3 or more household members smoke inside the house', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
SMD480,"{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
SMQ681,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ690A,"{1: 'Cigarettes', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
SMQ710,"{7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ720,"{95: '95 or more', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
SMQ725,"{1: 'Today', 2: 'Yesterday', 3: '3 to 5 days ago', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ690B,"{2: 'Pipes', '.': 'Missing'}"
SMQ740,"{7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ690C,"{3: 'Cigars or little cigars or cigarilllos', '.': 'Missing'}"
SMQ770,"{7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ690G,"{7: 'Water pipes or Hookahs', '.': 'Missing'}"
SMQ845,"{7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ690H,"{8: 'E-cigarettes', '.': 'Missing'}"
SMQ849,"{7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ851,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ690D,"{4: 'Chewing tobacco', '.': 'Missing'}"
SMQ800,"{7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ690E,"{5: 'Snuff', '.': 'Missing'}"
SMQ817,"{7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ690K,"{11: 'Other Smokeless', '.': 'Missing'}"
SMQ857O,"{7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ863,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ690F,"{6: 'Nicotine patches, gum, or other nicotine replacement therapy product', '.': 'Missing'}"
SMQ830,"{7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ840,"{1: 'Today', 2: 'Yesterday', 3: '3 to 5 days ago', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMDANY,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMAQUEX,"{1: 'MEC CAPI Youth (12 - 17 Yrs.)', 2: 'Household CAPI Adults (18+ Yrs.)', 3: 'Household CAPI Youth (0 - 11 Yrs.)', '.': 'Missing'}"
SMQ856,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ858,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ860,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ862,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ866,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ868,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ870,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ872,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ874,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ876,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ878,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ880,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
SMQ940,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
VTQ210,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
VTQ200A,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
VTQ231A,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
VTQ233A,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
VTQ233B,"{1: 'Today', 2: 'Yesterday', 3: 'More than 2 days', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
VTQ241A,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
VTD241B,"{0: 'Less than one hour', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
VTQ244A,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
VTD244B,"{0: 'Less than one hour', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
VTQ251A,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
VTD251B,"{0: 'Less than one hour', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
VTQ261A,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
VTD261B,"{0: 'Less than one hour', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
VTQ271A,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
VTD271B,"{0: 'Less than one hour', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
VTQ281A,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
VTD281B,"{0: 'Less than one hour', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
VTQ281C,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
VTD281D,"{0: 'Less than one hour', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
VTQ281E,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
VTD281F,"{0: 'Less than one hour', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
WHD010,"{7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
WHD020,"{7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
WHQ030,"{1: 'Overweight,', 2: 'Underweight, or', 3: 'About the right weight?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
WHQ040,"{1: 'More,', 2: 'Less, or', 3: 'Stay about the same?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
WHD050,"{7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
WHQ060,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
WHQ070,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
WHD080A,"{10: 'Ate less food (amount)', '.': 'Missing'}"
WHD080B,"{11: 'Switched to foods with lower calories', '.': 'Missing'}"
WHD080C,"{12: 'Ate less fat', '.': 'Missing'}"
WHD080D,"{13: 'Exercised', '.': 'Missing'}"
WHD080E,"{14: 'Skipped meals', '.': 'Missing'}"
WHD080F,"{15: ""Ate 'diet' foods or products"", '.': 'Missing'}"
WHD080G,"{16: 'Used a liquid diet formula such as slimfast or optifast', '.': 'Missing'}"
WHD080H,"{17: 'Joined a weight loss program such as Weight Watchers, Jenny Craig, Tops, or Overeaters Anonymous', '.': 'Missing'}"
WHD080I,"{31: 'Took diet pills prescribed by a doctor', '.': 'Missing'}"
WHD080J,"{32: 'Took other pills, medicines, herbs, or supplements not needing a prescription', '.': 'Missing'}"
WHD080K,"{33: 'Took laxatives or vomited', '.': 'Missing'}"
WHD080M,"{34: 'Drank a lot of water', '.': 'Missing'}"
WHD080N,"{30: 'Followed a special diet', '.': 'Missing'}"
WHD080O,"{41: 'Ate fewer carbohydrates', '.': 'Missing'}"
WHD080P,"{42: 'Started to smoke or began to smoke again', '.': 'Missing'}"
WHD080Q,"{43: 'Ate more fruits, vegetables, salads', '.': 'Missing'}"
WHD080R,"{44: 'Changed eating habits', '.': 'Missing'}"
WHD080S,"{45: 'Ate less sugar, candy, sweets', '.': 'Missing'}"
WHD080T,"{46: 'Ate less junk food or fast food', '.': 'Missing'}"
WHD080U,"{35: 'Had weight loss surgery', '.': 'Missing'}"
WHD080L,"{40: 'Other', '.': 'Missing'}"
WHQ225,"{1: '1 to 2', 2: '3 to 5', 3: '6 to 10', 4: '11 times or more', 5: 'Never', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
WHD110,"{7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
WHD120,"{7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
WHD130,"{7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
WHD140,"{7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
WHQ150,"{80: '80 years or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
