Variable,DataType,Label,Plain Description,Target
SMD641,questionnaire,# days smoked cigs during past 30 days,On how many of the past 30 days did {you/SP} smoke a cigarette?,0 to 30
SMD650,questionnaire,Avg # cigarettes/day during past 30 days,"During the past 30 days, on the days that {you/SP} smoked, about how many cigarettes did {you/s/he} smoke per day?",1 to 95
SMD093,questionnaire,May I please see the pack of cigarettes,May I please see the pack for the brand of cigarettes {you usually smoke/SP usually smokes}.,Both males and females 18 YEARS -150 YEARS
SMDUPCA,questionnaire,Cig 12-digit Universal Product Code-UPC,Cigarette 12-digit Universal Product Code (UPC),Both males and females 18 YEARS -150 YEARS
SMD100BR,questionnaire,Cigarette Brand/sub-brand,BRAND OF CIGARETTES SMOKED BY SP (SUB-BRAND INCLUDED IF APPLICABLE AND AVAILABLE),Both males and females 18 YEARS -150 YEARS
SMD100FL,questionnaire,Cigarette Filter type,CIGARETTE PRODUCT FILTERED OR NON-FILTERED,Both males and females 18 YEARS -150 YEARS
SMD100MN,questionnaire,Cigarette Menthol indicator,CIGARETTE PRODUCT MENTHOLATED OR NON-MENTHOLATED,Both males and females 18 YEARS -150 YEARS
SMD100LN,questionnaire,Cigarette Length,CIGARETTE PRODUCT LENGTH,Both males and females 18 YEARS -150 YEARS
SMD100TR,questionnaire,FTC Tar Content,CIGARETTE TAR CONTENT,Both males and females 18 YEARS -150 YEARS
SMD100NI,questionnaire,FTC Nicotine Content,CIGARETTE NICOTINE CONTENT,Both males and females 18 YEARS -150 YEARS
SMD100CO,questionnaire,FTC Carbon Monoxide Content,CIGARETTE CARBON MONOXIDE CONTENT,Both males and females 18 YEARS -150 YEARS
SMQ621,questionnaire,Cigarettes smoked in entire life,The following questions are about cigarette smoking and other tobacco use.  Do not include cigars or marijuana.  About how many cigarettes have you smoked in your entire life?,Both males and females 12 YEARS -17 YEARS
SMD630,questionnaire,Age first smoked whole cigarette,How old were you when you smoked a whole cigarette for the first time?,6 to 19
SMQ661,questionnaire,Brand of cigarettes smoked past 30 days,"During the past 30 days, on the days that you smoked, which brand of cigarettes did you usually smoke?",Both males and females 12 YEARS -17 YEARS
SMQ665A,questionnaire,Marlboro variety,"Please select the Marlboro pack that looks most like the brand that you smoke. If the pack you smoke is not shown, select 'other Marlboro.'",Both males and females 12 YEARS -17 YEARS
SMQ665B,questionnaire,Camel variety,"Please select the Camel pack that looks most like the brand that you smoke. If the pack you smoke is not shown, select 'other Camel.'",Both males and females 12 YEARS -17 YEARS
SMQ665C,questionnaire,Newport variety,"Please select the Newport pack that looks most like the brand that you smoke. If the pack you smoke is not shown, select 'other Newport.'",Both males and females 12 YEARS -17 YEARS
SMQ665D,questionnaire,Other brand,"Please select the pack that looks most like the brand that you smoke. If the pack you smoke is not shown, select 'other brand of cigarette.'",Both males and females 12 YEARS -17 YEARS
SMQ670,questionnaire,Tried to quit smoking,"During the past 12 months, have you stopped smoking for one day or longer because you were trying to quit smoking?",Both males and females 12 YEARS -150 YEARS
SMQ848,questionnaire,# times stopped smoking cigarettes,"During the past 12 months, how many times {have you/has SP} stopped smoking cigarettes because {you were/he was/she was} trying to quit smoking?",Both males and females 18 YEARS -150 YEARS
SMQ852Q,questionnaire,How long were you able to stop smoking,"The last time {you/SP} tried to quit, how long {were you/was he/was she} able to stop smoking?",Both males and females 18 YEARS -150 YEARS
SMQ852U,questionnaire,Unit of measure (day/week/month/year),"The last time {you/SP} tried to quit, how long {were you/was he/was she} able to stop smoking?",Both males and females 18 YEARS -150 YEARS
SMQ890,questionnaire,Ever smoked a cigar even 1 time?,"{Have you/Has SP} ever smoked a regular cigar, cigarillo or little filtered cigar even one time? This hand card shows examples of some cigars; however there are others not included here.",Both males and females 18 YEARS -150 YEARS
SMQ895,questionnaire,How many days smoked a cigar?,"During the past 30 days, on how many days did {you/SP} smoke a regular cigar, cigarillo or little filtered cigar?",Both males and females 18 YEARS -150 YEARS
SMQ900,questionnaire,Ever used an e-cigarette?,"The next question is about e-cigarettes. These are battery-powered devices that usually contain liquid nicotine, and don't produce smoke. Have {you/SP} EVER used an e-cigarette EVEN ONE TIME? This hand card shows examples of some e-cigarettes and other devices used to inhale liquid nicotine; however there are others not included here.",Both males and females 18 YEARS -150 YEARS
SMQ905,questionnaire,How many days used an e-cigarette?,"During the past 30 days, on how many days did {you/SP} use e-cigarettes?",Both males and females 18 YEARS -150 YEARS
SMQ910,questionnaire,Ever used smokeless tobacco?,"Smokeless tobacco products are placed in the mouth and nose and include chewing tobacco, snuff, dip, snus (pronounced as ""snoose"") and dissolvable tobacco. {Have you/Has SP} ever used smokeless tobacco even one time? This hand card shows examples of smokeless products; however there are others not included here.",Both males and females 18 YEARS -150 YEARS
SMQ915,questionnaire,How many days used smokeless tobacco?,"During the past 30 days, on how many days did {you/SP} use smokeless tobacco?",Both males and females 18 YEARS -150 YEARS
SMAQUEX2,questionnaire,Questionnaire Mode Flag,Questionnaire Mode Flag,Both males and females 12 YEARS -150 YEARS
SMD460,questionnaire,# of people who live here smoke tobacco?,"Now I would like to ask you a few questions about smoking in this home.  How many people who live here smoke cigarettes, cigars, little cigars, pipes, water pipes, hookah, or any other tobacco product?",Both males and females 0 YEARS -150 YEARS
SMD470,questionnaire,# of people who smoke inside this home?,"Not counting decks, porches, or detached garages, how many people who live here smoke cigarettes, cigars, little cigars, pipes, water pipes, hookah, or any other tobacco product inside this home?",Both males and females 0 YEARS -150 YEARS
SMD480,questionnaire,In past week # days person smoked inside,"(Not counting decks, porches, or detached garages) During the past 7 days, that is since last [TODAY'S DAY OF WEEK], on how many days did {anyone who lives here/you}, smoke tobacco inside this home?",0 to 7
SMQ681,questionnaire,Smoked tobacco last 5 days?,"The following questions ask about use of tobacco products in the past 5 days.  During the past 5 days, including today, did you smoke cigarettes, pipes, cigars, little cigars or cigarillos, water pipes, hookahs, or e-cigarettes?",Both males and females 12 YEARS -150 YEARS
SMQ690A,questionnaire,Used last 5 days - Cigarettes,Which of these products did {you/he/she} use?,Both males and females 12 YEARS -150 YEARS
SMQ710,questionnaire,# days smoked cigarettes last 5 days,"During the past 5 days, including today, on how many days did {you/he/she} smoke cigarettes?",1 to 5
SMQ720,questionnaire,# cigarettes smoked per day,"During the past 5 days, including today, on the days {you/he/she} smoked, how many cigarettes did {you/he/she} smoke each day?",1 to 95
SMQ725,questionnaire,When did resp. smoke last cigarette?,When did {you/he/she} smoke {your/his/her} last cigarette? Was it...,Both males and females 12 YEARS -150 YEARS
SMQ690B,questionnaire,Used last 5 days - Pipes,Which of these products did {you/he/she} use?,Both males and females 12 YEARS -150 YEARS
SMQ740,questionnaire,# days smoked pipe over last 5 days,"During the past 5 days, including today, on how many days did {you/he/she} smoke a pipe?",1 to 5
SMQ690C,questionnaire,Used last 5 days - Cigars,Which of these products did {you/he/she} use?,Both males and females 12 YEARS -150 YEARS
SMQ770,questionnaire,# days smoked cigars over last 5 days,"During the past 5 days, including today, on how many days did {you/he/she} smoke cigars, or little cigars or cigarillos?",1 to 5
SMQ690G,questionnaire,"Used last 5 days - Hookah, water pipes",Which of these products did {you/he/she} use?,Both males and females 12 YEARS -150 YEARS
SMQ845,questionnaire,# days smoked water pipe last 5 days,"During the past 5 days, including today, on how many days did {you/he/she} smoke tobacco in a water pipe or Hookah?",1 to 5
SMQ690H,questionnaire,Used last 5 days - E-cigarettes,Which of these products did {you/he/she} use?,Both males and females 12 YEARS -150 YEARS
SMQ849,questionnaire,# days smoked e-cigarette last 5 days,"During the past 5 days, including today, on how many days did {you/he/she} smoke an e-cigarette?",1 to 5
SMQ851,questionnaire,Used smokeless tobacco last 5 days?,"Smokeless tobacco products are placed in the mouth or nose and include chewing tobacco, snuff, snus, or dissolvables.  During the past 5 days, including today, did {you/he/she} use any smokeless tobacco? (Please do not include nicotine replacement products like patches, gum, lozenge, or spray which are considered products to help {you/him/her} stop smoking.)",Both males and females 12 YEARS -150 YEARS
SMQ690D,questionnaire,Used last 5 days - Chewing tobacco,Which of these products did {you/he/she} use?,Both males and females 12 YEARS -150 YEARS
SMQ800,questionnaire,# days used chewing tobacco last 5 day,"During the past 5 days, including today, on how many days did {you/he/she} use chewing tobacco, such as Redman, Levi Garrett or Beechnut?",1 to 5
SMQ690E,questionnaire,Used last 5 days - Snuff,Which of these products did {you/he/she} use?,Both males and females 12 YEARS -150 YEARS
SMQ817,questionnaire,# days used snuff over last 5 days,"During the past 5 days, including today, on how many days did {you/he/she} use snuff, such as Skoal, Skoal Bandits, or Copenhagen?",1 to 5
SMQ690K,questionnaire,Used last 5 days - Other smokeless,Which of these products did {you/he/she} use?,Both males and females 12 YEARS -150 YEARS
SMQ857O,questionnaire,# days used Other smokeless last 5 days,"During the past 5 days, including today, on how many days did {you/he/she} use other smokeless tobacco products?",1 to 5
SMQ863,questionnaire,Used nicotine replacement last 5 days?,"During the past 5 days, including today, did {you/he/she} use any nicotine replacement therapy products such as nicotine patches, gum, lozenges, inhalers, or nasal sprays?",Both males and females 18 YEARS -150 YEARS
SMQ690F,questionnaire,"Used last 5 days - Patch, gum, other",Which of these products did {you/he/she} use?,Both males and females 18 YEARS -150 YEARS
SMQ830,questionnaire,# days used nicotine quit smoking aids?,"During the past 5 days, including today, on how many days did {you/he/she} use any nicotine replacement therapy products such as nicotine patches, gum, lozenges, inhalers, or nasal sprays?",1 to 5
SMQ840,questionnaire,When last used nicotine quit smoking aid,When did {you/he/she} last use a nicotine replacement therapy product?  Was it . . .,Both males and females 18 YEARS -150 YEARS
